Year,Gender,Age,DayOfWeek,Hour,Location,Severity
2020,Female,23,Saturday,3,Soroca,Without fatalities
2021,Male,43,Friday,10,Ungheni,Without fatalities
2023,Male,51,Sunday,5,Ungheni,With fatalities
2017,Female,52,Sunday,10,Hîncești,Without fatalities
2019,Female,48,Monday,0,Hîncești,Without fatalities
2017,Male,32,Wednesday,8,Chișinău,Without fatalities
2023,Male,50,Thursday,6,Comrat,Without fatalities
2016,Male,44,Monday,20,Edineț,Without fatalities
2021,Female,42,Friday,21,Soroca,Without fatalities
2023,Male,30,Saturday,2,Comrat,Without fatalities
2021,Female,32,Friday,8,Edineț,With fatalities
2021,Male,41,Tuesday,1,Edineț,With fatalities
2015,Female,76,Monday,9,Hîncești,With fatalities
2023,Male,44,Thursday,16,Soroca,Without fatalities
2022,Female,30,Thursday,0,Bălți,Without fatalities
2022,Male,27,Saturday,17,Orhei,Without fatalities
2023,Male,32,Saturday,5,Chișinău,Without fatalities
2022,Male,72,Sunday,5,Orhei,Without fatalities
2021,Male,34,Saturday,8,Cahul,Without fatalities
2022,Female,53,Tuesday,9,Cahul,Without fatalities
2024,Female,34,Friday,14,Comrat,Without fatalities
2022,Female,43,Saturday,3,Ungheni,With fatalities
2023,Female,51,Sunday,7,Soroca,Without fatalities
2021,Female,31,Monday,3,Orhei,Without fatalities
2022,Male,30,Saturday,2,Orhei,Without fatalities
2018,Female,64,Friday,3,Bălți,Without fatalities
2021,Female,54,Monday,0,Cahul,Without fatalities
2017,Female,51,Monday,8,Chișinău,Without fatalities
2021,Female,51,Monday,10,Cahul,Without fatalities
2015,Male,46,Friday,20,Edineț,Without fatalities
2022,Male,70,Saturday,22,Ungheni,Without fatalities
2019,Male,40,Friday,18,Bălți,Without fatalities
2023,Male,48,Friday,20,Ungheni,Without fatalities
2020,Female,18,Wednesday,19,Comrat,Without fatalities
2024,Female,27,Sunday,6,Hîncești,Without fatalities
2021,Male,21,Friday,4,Soroca,With fatalities
2023,Male,59,Tuesday,1,Soroca,Without fatalities
2019,Female,18,Sunday,18,Soroca,Without fatalities
2021,Female,33,Wednesday,23,Hîncești,Without fatalities
2022,Male,18,Monday,2,Comrat,Without fatalities
2019,Male,27,Saturday,14,Cahul,With fatalities
2022,Male,32,Thursday,6,Bălți,Without fatalities
2019,Male,60,Saturday,4,Hîncești,Without fatalities
2021,Female,45,Wednesday,22,Cahul,Without fatalities
2014,Female,27,Sunday,9,Edineț,With fatalities
2016,Female,55,Wednesday,8,Ungheni,Without fatalities
2018,Male,40,Sunday,22,Soroca,Without fatalities
2023,Female,40,Sunday,13,Edineț,Without fatalities
2022,Female,21,Monday,21,Soroca,Without fatalities
2024,Male,25,Friday,12,Bălți,Without fatalities
2024,Male,27,Friday,0,Orhei,Without fatalities
2020,Male,40,Wednesday,15,Comrat,Without fatalities
2020,Male,41,Friday,19,Chișinău,Without fatalities
2023,Male,63,Wednesday,7,Hîncești,Without fatalities
2021,Male,45,Saturday,16,Orhei,Without fatalities
2024,Female,18,Thursday,5,Ungheni,Without fatalities
2021,Female,43,Saturday,1,Bălți,Without fatalities
2021,Female,18,Thursday,12,Hîncești,With fatalities
2019,Female,25,Monday,7,Orhei,Without fatalities
2017,Female,27,Tuesday,8,Hîncești,Without fatalities
2021,Female,30,Tuesday,12,Bălți,With fatalities
2019,Male,19,Saturday,17,Soroca,Without fatalities
2018,Male,43,Friday,17,Orhei,Without fatalities
2017,Male,18,Tuesday,8,Soroca,Without fatalities
2020,Female,45,Thursday,1,Orhei,With fatalities
2022,Female,73,Monday,3,Cahul,Without fatalities
2023,Male,20,Thursday,17,Hîncești,Without fatalities
2023,Male,35,Sunday,16,Bălți,Without fatalities
2024,Male,18,Wednesday,11,Bălți,Without fatalities
2022,Male,35,Friday,15,Soroca,Without fatalities
2022,Male,49,Friday,12,Cahul,Without fatalities
2024,Female,50,Tuesday,10,Bălți,Without fatalities
2019,Female,41,Wednesday,13,Orhei,Without fatalities
2017,Female,53,Tuesday,9,Orhei,Without fatalities
2016,Male,78,Sunday,22,Comrat,Without fatalities
2024,Female,65,Tuesday,20,Ungheni,Without fatalities
2020,Male,32,Tuesday,18,Edineț,With fatalities
2021,Female,18,Wednesday,23,Cahul,Without fatalities
2023,Male,33,Tuesday,20,Chișinău,Without fatalities
2020,Male,25,Sunday,16,Soroca,Without fatalities
2024,Female,46,Friday,8,Orhei,With fatalities
2019,Female,22,Tuesday,13,Cahul,Without fatalities
2023,Female,38,Wednesday,4,Bălți,Without fatalities
2022,Female,52,Wednesday,2,Cahul,With fatalities
2018,Female,38,Thursday,21,Cahul,Without fatalities
2017,Male,25,Tuesday,7,Comrat,Without fatalities
2016,Female,57,Wednesday,17,Chișinău,Without fatalities
2022,Female,18,Saturday,2,Ungheni,Without fatalities
2014,Male,35,Tuesday,22,Cahul,Without fatalities
2022,Female,39,Monday,1,Comrat,Without fatalities
2023,Male,40,Friday,10,Chișinău,Without fatalities
2019,Female,42,Friday,4,Edineț,With fatalities
2023,Female,49,Saturday,6,Comrat,Without fatalities
2017,Male,39,Tuesday,13,Edineț,With fatalities
2024,Female,34,Sunday,18,Edineț,Without fatalities
2018,Female,33,Friday,1,Hîncești,Without fatalities
2021,Female,30,Friday,8,Chișinău,Without fatalities
2024,Female,51,Sunday,9,Hîncești,Without fatalities
2024,Male,30,Monday,18,Chișinău,Without fatalities
2022,Male,52,Friday,16,Cahul,Without fatalities
2020,Female,40,Friday,6,Comrat,Without fatalities
2023,Female,32,Wednesday,17,Edineț,Without fatalities
2021,Male,49,Friday,5,Soroca,With fatalities
2016,Male,29,Tuesday,8,Chișinău,Without fatalities
2023,Female,49,Friday,7,Cahul,Without fatalities
2024,Male,43,Tuesday,21,Comrat,Without fatalities
2020,Male,31,Friday,21,Bălți,Without fatalities
2022,Male,47,Tuesday,23,Bălți,Without fatalities
2015,Male,48,Friday,8,Hîncești,Without fatalities
2018,Female,57,Saturday,23,Orhei,Without fatalities
2022,Male,54,Tuesday,0,Ungheni,Without fatalities
2019,Female,47,Friday,1,Hîncești,Without fatalities
2024,Female,23,Sunday,21,Comrat,Without fatalities
2023,Male,76,Monday,23,Comrat,With fatalities
2022,Female,18,Wednesday,3,Edineț,Without fatalities
2024,Female,54,Wednesday,19,Cahul,Without fatalities
2018,Male,46,Wednesday,17,Bălți,Without fatalities
2024,Male,22,Sunday,9,Chișinău,With fatalities
2019,Male,38,Wednesday,0,Bălți,With fatalities
2022,Female,38,Sunday,9,Cahul,Without fatalities
2021,Female,59,Monday,8,Soroca,With fatalities
2021,Female,29,Saturday,22,Edineț,Without fatalities
2023,Female,36,Saturday,12,Cahul,Without fatalities
2020,Male,18,Monday,14,Comrat,Without fatalities
2021,Female,66,Friday,17,Soroca,Without fatalities
2018,Male,23,Monday,12,Soroca,Without fatalities
2023,Male,44,Wednesday,4,Edineț,Without fatalities
2022,Male,38,Sunday,1,Soroca,Without fatalities
2019,Male,38,Saturday,6,Comrat,Without fatalities
2019,Female,52,Thursday,8,Edineț,Without fatalities
2019,Male,65,Friday,18,Edineț,Without fatalities
2023,Female,43,Tuesday,13,Cahul,Without fatalities
2022,Male,49,Saturday,16,Ungheni,Without fatalities
2023,Male,44,Wednesday,19,Edineț,Without fatalities
2022,Male,55,Sunday,19,Soroca,With fatalities
2019,Female,33,Saturday,10,Chișinău,Without fatalities
2024,Male,56,Sunday,21,Comrat,Without fatalities
2024,Male,56,Wednesday,4,Cahul,Without fatalities
2019,Male,56,Wednesday,11,Bălți,Without fatalities
2024,Male,30,Saturday,20,Soroca,Without fatalities
2023,Female,37,Saturday,8,Chișinău,Without fatalities
2020,Female,43,Saturday,16,Hîncești,Without fatalities
2021,Male,19,Monday,7,Soroca,Without fatalities
2021,Male,63,Saturday,23,Orhei,Without fatalities
2023,Female,39,Sunday,7,Comrat,Without fatalities
2017,Female,44,Tuesday,11,Hîncești,Without fatalities
2015,Female,31,Friday,18,Soroca,Without fatalities
2021,Male,20,Wednesday,9,Ungheni,Without fatalities
2019,Female,30,Saturday,23,Cahul,Without fatalities
2022,Male,43,Tuesday,1,Soroca,With fatalities
2024,Female,50,Thursday,23,Cahul,Without fatalities
2022,Female,42,Sunday,7,Soroca,Without fatalities
2024,Male,45,Saturday,13,Edineț,Without fatalities
2023,Female,34,Monday,18,Bălți,Without fatalities
2016,Male,47,Wednesday,3,Ungheni,Without fatalities
2024,Female,62,Tuesday,8,Edineț,Without fatalities
2018,Male,50,Sunday,12,Soroca,With fatalities
2024,Female,52,Saturday,8,Edineț,Without fatalities
2023,Female,44,Tuesday,12,Orhei,Without fatalities
2023,Male,18,Wednesday,15,Chișinău,Without fatalities
2019,Male,24,Tuesday,21,Soroca,Without fatalities
2023,Male,46,Tuesday,0,Bălți,Without fatalities
2022,Male,39,Sunday,7,Comrat,Without fatalities
2016,Female,46,Saturday,8,Ungheni,Without fatalities
2024,Female,65,Saturday,23,Bălți,Without fatalities
2024,Female,50,Sunday,12,Chișinău,Without fatalities
2022,Female,58,Friday,16,Soroca,Without fatalities
2021,Female,41,Monday,21,Edineț,Without fatalities
2020,Female,27,Friday,8,Edineț,Without fatalities
2022,Male,39,Monday,6,Bălți,Without fatalities
2023,Female,27,Monday,22,Orhei,Without fatalities
2022,Female,63,Friday,19,Comrat,With fatalities
2017,Male,51,Sunday,22,Chișinău,Without fatalities
2019,Female,47,Wednesday,9,Soroca,Without fatalities
2022,Female,58,Sunday,20,Orhei,With fatalities
2022,Female,18,Tuesday,4,Comrat,Without fatalities
2021,Male,48,Thursday,16,Hîncești,Without fatalities
2018,Male,20,Friday,1,Cahul,Without fatalities
2019,Female,39,Friday,8,Edineț,Without fatalities
2021,Male,35,Wednesday,1,Cahul,Without fatalities
2020,Female,49,Tuesday,9,Hîncești,Without fatalities
2019,Female,43,Saturday,11,Edineț,Without fatalities
2023,Female,60,Sunday,1,Hîncești,Without fatalities
2021,Male,30,Friday,14,Soroca,Without fatalities
2021,Female,50,Thursday,2,Hîncești,Without fatalities
2021,Female,42,Tuesday,1,Cahul,Without fatalities
2022,Female,18,Friday,6,Comrat,Without fatalities
2017,Female,26,Saturday,8,Cahul,Without fatalities
2024,Female,37,Friday,10,Orhei,Without fatalities
2016,Male,56,Saturday,21,Edineț,Without fatalities
2023,Female,46,Monday,15,Bălți,Without fatalities
2023,Male,22,Monday,6,Edineț,Without fatalities
2016,Female,37,Friday,12,Chișinău,Without fatalities
2024,Male,70,Wednesday,2,Ungheni,Without fatalities
2015,Female,41,Monday,10,Comrat,Without fatalities
2020,Female,35,Friday,2,Chișinău,With fatalities
2021,Male,47,Saturday,14,Orhei,Without fatalities
2023,Male,51,Tuesday,7,Orhei,With fatalities
2014,Female,33,Sunday,6,Comrat,Without fatalities
2022,Male,47,Saturday,4,Hîncești,Without fatalities
2018,Male,35,Thursday,5,Comrat,Without fatalities
2022,Female,50,Monday,18,Cahul,Without fatalities
2022,Female,42,Sunday,2,Ungheni,With fatalities
2015,Female,47,Sunday,10,Chișinău,With fatalities
2015,Female,28,Sunday,5,Soroca,Without fatalities
2016,Female,27,Friday,23,Comrat,Without fatalities
2024,Male,54,Monday,20,Cahul,With fatalities
2024,Female,38,Saturday,13,Orhei,Without fatalities
2021,Male,44,Saturday,16,Cahul,Without fatalities
2024,Female,35,Tuesday,2,Ungheni,Without fatalities
2021,Female,53,Wednesday,23,Soroca,Without fatalities
2020,Male,30,Friday,3,Orhei,With fatalities
2021,Female,37,Tuesday,8,Orhei,With fatalities
2023,Male,51,Thursday,12,Chișinău,Without fatalities
2018,Male,57,Friday,5,Edineț,Without fatalities
2019,Male,32,Thursday,9,Cahul,Without fatalities
2023,Female,69,Wednesday,19,Ungheni,Without fatalities
2024,Female,44,Friday,19,Edineț,Without fatalities
2017,Female,24,Friday,20,Soroca,Without fatalities
2023,Female,45,Sunday,12,Orhei,Without fatalities
2014,Female,34,Tuesday,22,Chișinău,Without fatalities
2018,Female,46,Monday,13,Edineț,Without fatalities
2015,Male,39,Friday,11,Soroca,Without fatalities
2021,Female,41,Wednesday,22,Chișinău,With fatalities
2020,Female,26,Friday,12,Comrat,With fatalities
2017,Female,54,Friday,9,Bălți,Without fatalities
2014,Female,22,Friday,6,Orhei,Without fatalities
2020,Male,23,Sunday,4,Cahul,Without fatalities
2019,Male,45,Friday,11,Orhei,Without fatalities
2015,Male,64,Wednesday,1,Hîncești,Without fatalities
2024,Male,34,Tuesday,7,Orhei,Without fatalities
2020,Male,50,Monday,7,Chișinău,Without fatalities
2023,Female,56,Wednesday,18,Orhei,Without fatalities
2021,Male,52,Wednesday,4,Cahul,Without fatalities
2015,Male,35,Thursday,7,Ungheni,Without fatalities
2020,Female,23,Monday,9,Ungheni,Without fatalities
2024,Female,18,Sunday,12,Hîncești,Without fatalities
2014,Male,36,Tuesday,8,Edineț,Without fatalities
2024,Female,57,Saturday,6,Comrat,Without fatalities
2022,Female,23,Tuesday,19,Soroca,Without fatalities
2024,Male,50,Saturday,19,Ungheni,Without fatalities
2024,Female,25,Thursday,18,Cahul,Without fatalities
2024,Male,41,Thursday,10,Chișinău,Without fatalities
2015,Male,50,Sunday,7,Hîncești,Without fatalities
2019,Female,30,Wednesday,21,Edineț,With fatalities
2020,Male,42,Tuesday,15,Chișinău,With fatalities
2023,Male,33,Saturday,9,Bălți,With fatalities
2022,Female,50,Tuesday,5,Chișinău,With fatalities
2017,Female,43,Saturday,9,Chișinău,Without fatalities
2023,Female,40,Tuesday,9,Hîncești,Without fatalities
2017,Female,63,Wednesday,18,Soroca,Without fatalities
2021,Male,49,Saturday,3,Cahul,With fatalities
2022,Female,29,Tuesday,18,Bălți,Without fatalities
2024,Female,38,Friday,2,Edineț,Without fatalities
2022,Male,38,Thursday,16,Edineț,Without fatalities
2024,Male,41,Sunday,13,Orhei,Without fatalities
2024,Male,77,Thursday,9,Bălți,Without fatalities
2021,Male,45,Saturday,5,Chișinău,Without fatalities
2015,Female,18,Thursday,15,Orhei,Without fatalities
2014,Female,31,Sunday,8,Chișinău,With fatalities
2024,Male,18,Thursday,20,Orhei,Without fatalities
2021,Male,35,Friday,11,Bălți,Without fatalities
2020,Male,18,Monday,11,Comrat,Without fatalities
2019,Male,26,Tuesday,13,Bălți,Without fatalities
2019,Female,18,Saturday,1,Bălți,Without fatalities
2016,Male,45,Thursday,9,Orhei,Without fatalities
2019,Female,40,Tuesday,3,Ungheni,With fatalities
2022,Male,44,Tuesday,5,Orhei,Without fatalities
2020,Female,38,Friday,22,Edineț,With fatalities
2024,Female,19,Sunday,12,Cahul,Without fatalities
2022,Female,47,Tuesday,22,Soroca,Without fatalities
2024,Female,68,Sunday,13,Soroca,Without fatalities
2016,Male,46,Thursday,3,Hîncești,Without fatalities
2021,Female,33,Saturday,9,Comrat,Without fatalities
2015,Male,18,Tuesday,9,Hîncești,Without fatalities
2024,Female,26,Friday,4,Edineț,Without fatalities
2017,Female,46,Saturday,3,Cahul,Without fatalities
2023,Male,56,Saturday,11,Bălți,Without fatalities
2024,Male,43,Saturday,21,Cahul,Without fatalities
2021,Female,51,Thursday,13,Orhei,Without fatalities
2020,Female,50,Friday,6,Ungheni,Without fatalities
2022,Male,47,Wednesday,1,Chișinău,With fatalities
2023,Female,30,Monday,13,Hîncești,With fatalities
2022,Male,42,Tuesday,9,Orhei,With fatalities
2014,Male,27,Tuesday,15,Chișinău,With fatalities
2023,Male,40,Tuesday,2,Cahul,Without fatalities
2017,Female,44,Sunday,7,Chișinău,With fatalities
2021,Female,65,Wednesday,22,Hîncești,Without fatalities
2019,Male,20,Saturday,16,Ungheni,Without fatalities
2024,Male,47,Saturday,3,Bălți,With fatalities
2021,Male,62,Sunday,20,Ungheni,Without fatalities
2021,Male,51,Monday,18,Bălți,Without fatalities
2016,Female,52,Friday,14,Orhei,With fatalities
2024,Male,48,Wednesday,19,Orhei,Without fatalities
2018,Female,59,Wednesday,9,Comrat,Without fatalities
2020,Male,23,Thursday,9,Hîncești,Without fatalities
2024,Female,19,Saturday,22,Hîncești,Without fatalities
2016,Female,39,Wednesday,23,Ungheni,Without fatalities
2023,Female,18,Wednesday,11,Hîncești,Without fatalities
2019,Female,58,Tuesday,8,Edineț,Without fatalities
2020,Female,58,Sunday,14,Chișinău,Without fatalities
2020,Male,33,Saturday,17,Comrat,Without fatalities
2024,Male,34,Thursday,19,Comrat,Without fatalities
2014,Female,38,Friday,0,Ungheni,Without fatalities
2020,Male,40,Monday,2,Comrat,Without fatalities
2024,Male,41,Friday,7,Soroca,Without fatalities
2024,Male,48,Thursday,6,Soroca,Without fatalities
2019,Male,37,Tuesday,14,Soroca,Without fatalities
2018,Male,54,Monday,7,Orhei,Without fatalities
2021,Male,46,Friday,14,Comrat,Without fatalities
2023,Male,30,Saturday,21,Soroca,Without fatalities
2017,Female,60,Saturday,4,Hîncești,Without fatalities
2023,Male,19,Monday,11,Hîncești,With fatalities
2021,Male,38,Monday,11,Comrat,Without fatalities
2017,Male,54,Monday,8,Cahul,Without fatalities
2022,Female,29,Wednesday,20,Ungheni,Without fatalities
2022,Female,44,Thursday,8,Ungheni,Without fatalities
2022,Male,48,Saturday,14,Comrat,Without fatalities
2023,Female,27,Saturday,14,Bălți,Without fatalities
2018,Female,38,Thursday,19,Soroca,With fatalities
2023,Male,37,Tuesday,11,Ungheni,Without fatalities
2024,Female,31,Saturday,4,Hîncești,With fatalities
2021,Male,74,Friday,0,Chișinău,Without fatalities
2021,Female,28,Tuesday,21,Cahul,Without fatalities
2023,Male,55,Sunday,18,Orhei,Without fatalities
2017,Female,34,Sunday,10,Ungheni,Without fatalities
2020,Male,23,Friday,17,Cahul,Without fatalities
2024,Male,41,Monday,5,Orhei,Without fatalities
2021,Female,49,Saturday,16,Cahul,Without fatalities
2023,Male,53,Friday,13,Comrat,Without fatalities
2019,Male,63,Friday,11,Chișinău,Without fatalities
2020,Female,84,Monday,4,Hîncești,Without fatalities
2023,Male,43,Sunday,6,Bălți,Without fatalities
2017,Male,30,Tuesday,15,Ungheni,Without fatalities
2024,Female,46,Friday,8,Orhei,With fatalities
2019,Male,36,Saturday,22,Orhei,Without fatalities
2024,Female,53,Tuesday,14,Edineț,With fatalities
2023,Male,20,Tuesday,3,Edineț,Without fatalities
2021,Female,75,Thursday,19,Ungheni,Without fatalities
2023,Female,52,Sunday,22,Orhei,Without fatalities
2022,Male,18,Saturday,23,Hîncești,Without fatalities
2024,Female,29,Saturday,6,Comrat,With fatalities
2021,Male,52,Monday,13,Edineț,With fatalities
2024,Male,57,Monday,3,Edineț,Without fatalities
2017,Female,20,Wednesday,3,Bălți,Without fatalities
2022,Male,50,Saturday,23,Comrat,With fatalities
2018,Male,18,Sunday,13,Cahul,With fatalities
2018,Female,38,Tuesday,6,Comrat,Without fatalities
2020,Male,56,Wednesday,14,Bălți,With fatalities
2020,Male,31,Saturday,11,Chișinău,Without fatalities
2015,Female,18,Monday,13,Hîncești,Without fatalities
2021,Male,42,Sunday,12,Chișinău,With fatalities
2024,Male,30,Monday,18,Chișinău,With fatalities
2021,Female,49,Saturday,11,Cahul,Without fatalities
2019,Male,26,Wednesday,15,Chișinău,Without fatalities
2024,Male,28,Monday,15,Comrat,Without fatalities
2021,Female,18,Monday,0,Comrat,Without fatalities
2019,Male,42,Thursday,14,Edineț,Without fatalities
2023,Male,37,Friday,4,Bălți,Without fatalities
2018,Female,22,Saturday,5,Comrat,Without fatalities
2018,Female,42,Thursday,20,Hîncești,Without fatalities
2019,Male,55,Sunday,16,Soroca,With fatalities
2020,Male,36,Friday,10,Cahul,Without fatalities
2022,Female,44,Saturday,3,Hîncești,Without fatalities
2021,Male,44,Thursday,17,Chișinău,Without fatalities
2023,Male,21,Thursday,19,Cahul,Without fatalities
2023,Male,70,Saturday,13,Bălți,With fatalities
2015,Female,32,Tuesday,22,Bălți,Without fatalities
2017,Male,49,Wednesday,8,Cahul,With fatalities
2018,Male,51,Saturday,2,Comrat,Without fatalities
2022,Female,37,Thursday,2,Orhei,With fatalities
2024,Female,49,Tuesday,10,Hîncești,With fatalities
2019,Female,43,Thursday,19,Cahul,With fatalities
2024,Male,18,Wednesday,22,Soroca,Without fatalities
2017,Male,35,Sunday,21,Hîncești,Without fatalities
2024,Female,30,Tuesday,4,Cahul,Without fatalities
2023,Male,33,Saturday,3,Edineț,Without fatalities
2020,Male,20,Friday,11,Hîncești,Without fatalities
2018,Male,56,Sunday,23,Comrat,Without fatalities
2020,Male,64,Wednesday,11,Orhei,Without fatalities
2018,Female,54,Monday,3,Orhei,Without fatalities
2022,Female,59,Saturday,2,Orhei,Without fatalities
2022,Male,34,Saturday,22,Soroca,With fatalities
2023,Female,30,Saturday,1,Comrat,Without fatalities
2021,Male,28,Tuesday,3,Comrat,With fatalities
2020,Male,49,Monday,23,Comrat,Without fatalities
2024,Female,43,Sunday,3,Cahul,Without fatalities
2016,Female,38,Sunday,6,Orhei,Without fatalities
2023,Male,59,Tuesday,1,Hîncești,With fatalities
2020,Male,46,Friday,10,Hîncești,Without fatalities
2018,Male,27,Tuesday,4,Ungheni,Without fatalities
2017,Male,29,Saturday,12,Hîncești,Without fatalities
2018,Female,50,Thursday,3,Bălți,Without fatalities
2017,Female,55,Monday,8,Edineț,Without fatalities
2021,Male,48,Monday,6,Bălți,Without fatalities
2020,Male,68,Sunday,12,Soroca,Without fatalities
2020,Female,64,Sunday,9,Orhei,Without fatalities
2017,Male,46,Tuesday,6,Bălți,Without fatalities
2022,Female,27,Thursday,17,Hîncești,With fatalities
2022,Male,20,Thursday,17,Orhei,Without fatalities
2024,Female,34,Tuesday,1,Edineț,Without fatalities
2017,Male,51,Wednesday,20,Ungheni,Without fatalities
2023,Male,67,Friday,0,Cahul,Without fatalities
2015,Male,46,Tuesday,12,Ungheni,Without fatalities
2016,Female,57,Saturday,22,Chișinău,Without fatalities
2022,Female,36,Thursday,1,Chișinău,Without fatalities
2020,Male,49,Friday,3,Edineț,Without fatalities
2018,Male,52,Tuesday,8,Chișinău,Without fatalities
2014,Male,18,Friday,7,Soroca,Without fatalities
2022,Male,33,Wednesday,17,Hîncești,With fatalities
2021,Female,54,Thursday,15,Cahul,Without fatalities
2017,Female,44,Wednesday,3,Bălți,Without fatalities
2024,Female,22,Sunday,3,Soroca,Without fatalities
2020,Male,18,Wednesday,17,Bălți,Without fatalities
2019,Male,34,Thursday,1,Chișinău,Without fatalities
2021,Female,38,Sunday,20,Hîncești,Without fatalities
2019,Male,26,Saturday,10,Hîncești,Without fatalities
2019,Female,42,Wednesday,19,Chișinău,Without fatalities
2024,Female,47,Tuesday,23,Ungheni,Without fatalities
2019,Female,50,Tuesday,3,Soroca,Without fatalities
2022,Female,18,Friday,23,Bălți,Without fatalities
2015,Male,20,Tuesday,13,Hîncești,Without fatalities
2017,Female,35,Tuesday,20,Hîncești,Without fatalities
2014,Male,48,Sunday,16,Hîncești,Without fatalities
2021,Female,47,Sunday,7,Edineț,Without fatalities
